Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
12_2022;VENTINHO;3;CPCEIO;CPCEIO;BRASIL;1;9;15:00;01/SET/2022;VELEIRO;INTERIOR;ESPORTE E RECREIO;MISTA;ENCALHE;-9,66444444;-35,70111111;0;0;0;A SER APURADO;FIBRA;;
23_2022;SURF  RESGAT - NOELIA I;1;CPVITO;CPVITO;BRASIL;0;3,22;#VALOR!;DI de agost;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-18,94916667;-39,74333333;1;0;0;941M2014001016;FIBRA;;
18_2022;VIVIAN JBM;3;CPFTZA;CPFTZA;BRASIL;1;5,12;9:50;27/AGO/2022;JANGADA;CABOTAGEM;PESCA;VELA;EMBORCAMENTO;-4,35833333;-37,50000000;0;0;0;161M2007004946;MADEIRA;NÃO POSSUI;
40_2022;PRAIA DO ARPOADOR;1;CPRIOJ;CPRIOJ;BAHAMAS;35,284;122,4;16:35;23/AGO/2022;SUPPLY;APOIO-MARÍTIMO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-25,32861111;-42,70000000;0;1;0;381E010520;AÇO;;
11_2022;JOIA I;5;CPFPOL;CPFPOL;BRASIL;96;44,4;20:54;01/SET/2022;BALSA;INTERIOR;PASSAGEIROS E CARGA;SEM PROPULSÃO;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-27,18083333;-53,71888889;0;0;0;4620789372;AÇO;;
11_2022;Bertolini CXXII e OUTRAS;9;CFPVEL;CFPVEL;BRASIL;313;30,55;2:40;17/ABR/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-5,36083333;-60,72138889;0;0;0;230925898;AÇO;;
3_2022;PIG GÁS;8;DLPREP;DLPREP;BRASIL;0;6;13:30;03/SET/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;0;0;0;402M2022001567;ALUMÍNIO;;
08_2022;ARRAIANO;2;DLSEGU;DLSEGU;BRASIL;3,8;7,9;20:30;04/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-16,47750000;-39,06388889;0;0;0;9410155151;FIBRA;;
008_2022;CT  29;9;CFINGA;CFINGA;BRASIL;101;21,5;15:30;05/SET/2022;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-4,19694444;-69,99944444;0;0;0;11462159;AÇO;;
15_2022;ST GEORGE;5;DELUNA;DELUNA;BAHAMAS;20,748;179,9;19:11;06/SET/2022;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-28,20277778;-48,60388889;0;1;0;SOLAS-IMO 9437517;AÇO;;
39_2022;Dona Lourdes II;4;CPBLEM;CPBLEM;BRASIL;38;21;6:00;08/SET/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;;-48,54250000;22;0;1;50070843;ALUMÍNIO;;
